codigo_produto;nome;codigo_de_barras;sigla_da_unidade_de_medida;marca_do_produto;categoria;subcategoria_nivel_1;subcategoria_nivel_2;preco_custo;preco_fornecedor;preco_minimo_de_venda;preco_venda;peso;estoque_minimo;origem_produto;receita_do_produto;referencia_interna;enviar_dados_balanca;informacao_adicional;cnpj_fornecedor;nome_do_fornecedor;multiplicador;sigla_pacote;grade_1;grade_2;opcao_de_grade_1;opcao_de_grade_2;NCM;cest;aliquota_cofins;aliquota_ipi;aliquota_pis;enquadramento_de_ipi;codigo_situacao_tributaria_ipi;codigo_situacao_tributaria_pis;codigo_situacao_tributaria_icms;aliquota_icms;mva;reducao_na_base_de_calculo;origem_icms;destino_icms;csosn;codigo_beneficio_fiscal_regra_icms;codigo_beneficio_fiscal_produto;valor_base_calculo_icms_st_retido_anteriormente;valor_icms_st_retido_anteriormente
1;SAPATOS USAFLEX MESTICO CAB ROLHA .;7,90835E+12;UN;;;;;82.900;;;155.000;;;;;S5207;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
2;SAPATOS USAFLEX VELOUR CAB ROYAL .V;7,90941E+12;UN;;;;;85.900;;;159.000;;;;;R1306;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
10;BLUSA REGATA MARISOL;;UN;;;;;1;;;35.000;;;;;11000032;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
11;VESTIDO;;UN;;;;;1;;;88.000;;;;;11000047;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
12;BLUSA MARISOL STRAWBERRY;;UN;;;;;1;;;44.000;;;;;11000052;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
13;BLUSA;;UN;;;;;1;;;35.000;;;;;11000059;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
14;VESTIDO MARISOL STRAWBERRY;;UN;;;;;1;;;53.000;;;;;11000060;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
15;BLUSA;;UN;;;;;1;;;35.000;;;;;11000069;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
16;CONJUNTO BLUSA SHORT;;UN;;;;;1;;;62.000;;;;;11000074;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
17;CALCA PITT SAN DIEGO ONE FIT;;UN;;;;;1;;;180.000;;;;;318550002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
18;CALCA PITT NEW BASIC MASC;;UN;;;;;1;;;170.000;;;;;20400002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
19;CALCA MASC NEW BASIC;;UN;;;;;1;;;169.000;;;;;19030014;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
20;CALCA MASC ONE FIT;;UN;;;;;1;;;160.000;;;;;19020012;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
21;CALCA M.SPORTSWEAR SLIM ONIX;;UN;;;;;1;;;99.900;;;;;789280916;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
22;CALCA MASC.SPORTSWEAR ONIX;;UN;;;;;1;;;125.000;;;;;789280993;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
23;CALCA M.SPORTSWEAR SLIM ONIX;;UN;;;;;1;;;99.000;;;;;789280916;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
24;CALCA PITT SAN DIEGO ONE FIT;;UN;;;;;1;;;180.000;;;;;318550002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
25;CALACA MASC STOP WEAR;;UN;;;;;1;;;155.000;;;;;18806011;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
26;CALCA MASC NEW BASIC;;UN;;;;;1;;;170.000;;;;;20400002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
27;CALCA MASC NEW BASIC;;UN;;;;;1;;;170.000;;;;;20400002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
28;CALCA MASC NEW BASIC;;UN;;;;;1;;;170.000;;;;;19030014;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
29;CALCA MASC ONE FIT;;UN;;;;;1;;;160.000;;;;;19020012;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
30;CALCA MASC STOP WEAR;;UN;;;;;1;;;180.000;;;;;2601002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
31;CALCA MASC STOP WEAR;;UN;;;;;1;;;;;;;;18806011;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
32;CALCA  M.SPORTSWEAR SLIM ONIX;;UN;;;;;1;;;99.900;;;;;789280916;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
33;CALCA MASC ONE FIT;;UN;;;;;1;;;158.000;;;;;15940054;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
34;CALCA MASC RETA PITT;;UN;;;;;1;;;149.000;;;;;10330016;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
35;CALCA M.SPORTSWEAR SLIM ONIX;;UN;;;;;1;;;99.900;;;;;789280916;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
36;CALCA MASC STOP WEAR;;UN;;;;;1;;;159.000;;;;;3892002;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
37;CALCA MASC NEW BASIC;;UN;;;;;1;;;169.000;;;;;19030014;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
38;CALCA MASC ONE FIT;;UN;;;;;1;;;145.000;;;;;11120042;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
39;CALCA MASC ONE FIT;;UN;;;;;1;;;167.000;;;;;18430010;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
40;CALCA MASC ONE FIT;;UN;;;;;1;;;160.000;;;;;19020012;;;;;;;;;;;64039990;;0;0;0;999;99;99;0;20.50;0;0;PE;PE;102;;;0;0
