CODIGO;CODIGO_BARRAS;NOME_PRODUTO;UN_MEDIDA;Estoque;PRECO_FORNECEDOR;PRECO_CUSTO;PRECO_MINIMO_VENDA;PRECO_VENDA;NCM;COD_SITUACAO T._ICM;CSOSN;ALICOTA_ICMS;REDUCAO_ICMS;MVA
4391,00;4391,00;*ALICATE ;UND;0.0;1.0;1.0;1.0;1.0;8203.20.10;0.0;102.0;18.0;0.0;0.0
4453,00;4453,00;ARAME RECOZIDO 18;KG;16.0;11.76;11.76;16.0;18.0;3214.90.00;60.0;500.0;0.0;0.0;0.0
4487,00;;ARGAMASSA BLOCO DE VIDRO ITATIUNGA;PCT;3.0;14.03;14.53;27.0;30.0;3214.90.00;60.0;500.0;0.0;0.0;0.0
4658,00;4658,00;PORTA FERRO BRANCA 80CM S ESQUERDA DELFORT;UND;1.0;469.99;469.99;540.0;599.99;7326.19.00;60.0;500.0;0.0;0.0;0.0
4744,00;4744,00;BOTA SOLADO DE PNEU MACEDO;PAR;8.0;46.0;46.0;65.0;72.5;6405.10.10;0.0;102.0;18.0;0.0;0.0
4918,00;4918,00;*BROCA;UND;0.0;1.0;1.0;1.0;1.0;8207.50.19;0.0;102.0;18.0;0.0;0.0
5004,00;5004,00;CADEADO 38MM SANYU;PC;0.0;6.0;6.0;12.0;13.5;7326.19.00;60.0;500.0;0.0;0.0;0.0
5121,00;7900000000000,00;CANTONEIRA P PRATELEIRA 20X30 LEVE BRANCA;UND;0.0;5.77;5.77;9.0;10.0;8302.49.00;60.0;500.0;0.0;0.0;0.0
5231,00;63420,00;PISO 63x63 PSI-63420R JERICOACOARA AREIA CX2.79 INCENOR;MT;47430000.0;18.0;21.23;32.0;35.9;7326.19.00;0.0;102.0;18.0;0.0;0.0
5280,00;63578,00;CHAVE COMBINADA 13MM TRAMONTINA;UND;3.0;9.91;9.91;15.0;16.9;8204.11.00;0.0;102.0;18.0;0.0;0.0
5430,00;5430,00;*CLARIFICANTE ;LT;0.0;1.0;1.0;1.0;1.0;2827.32.00;0.0;102.0;18.0;0.0;0.0
5470,00;5470,00;*COLA;UND;0.0;1.0;1.0;1.0;1.0;3506.10.90;60.0;500.0;0.0;0.0;0.0
5471,00;7900000000000,00;*COLA CANO 175G POTE TIGRE;PO;0.0;15.52;15.52;22.33;24.5;3506.10.90;60.0;500.0;0.0;0.0;0.0
5569,00;478069,00;CORANTE HIDROCOLOR 50ML MARROM;UND;2.0;3.06;3.06;5.0;5.6;3204.17.00;60.0;500.0;0.0;0.0;0.0
5605,00;5605,00;*CORDA SEDA 12MM FORCE VERME METRO;KGS;0.0;20.0;20.0;27.0;30.0;5607.50.90;0.0;102.0;18.0;0.0;0.0
5683,00;5683,00;DESEMPENADEIRA;UND;0.0;1.0;1.0;1.0;1.0;3926.90.90;60.0;500.0;0.0;0.0;0.0
5700,00;468632,00;DISCO PORCELANATO CORTAG DIAMANTADO 105X1.2;UND;0.0;25.48;25.48;38.0;42.5;6804.21.19;0.0;102.0;18.0;0.0;0.0
5747,00;5747,00;DISCO DE CORTE;UND;0.0;5.17;5.17;8.0;9.0;6804.22.11;0.0;102.0;18.0;0.0;0.0
5790,00;5790,00;*DISCO;UND;0.0;1.0;1.0;1.0;1.0;6804.21.19;0.0;102.0;18.0;0.0;0.0
5797,00;415097,00;DISCO FLAP 4.1/2 G40 HEAVY;UND;5.0;4.41;4.41;7.0;8.0;6805.30.90;0.0;102.0;18.0;0.0;0.0
5837,00;7890000000000,00;*DISCO LIXA G50 4.1/2 CARBORUNDUM;UND;1.0;2.75;2.75;6.0;6.8;6805.30.20;0.0;102.0;18.0;0.0;0.0
5990,00;5990,00;*ELETRODUTO CORRUGADO 3/4 TUBOLYNE;MTS;247.0;0.24;0.24;0.34;2.0;7326.19.00;60.0;500.0;0.0;0.0;0.0
6334,00;4060000000000,00;*FITA ISOLANTE 5M PRETA WURTH 18MM;UND;18.0;1.49;1.78;3.01;3.9;3919.10.90;60.0;500.0;0.0;0.0;0.0
6364,00;995811,00;FIXA FIO 10MM C/20 C/PREGO FIX;PCT;18.0;3.74;3.74;7.0;7.8;7317.00.90;60.0;500.0;0.0;0.0;0.0
6367,00;611523,00;FIXA FIO C/15 PLASTIN;PCT;6.0;2.53;2.53;5.0;5.5;3926.90.90;60.0;500.0;0.0;0.0;0.0
6461,00;6461,00;INTER PLUZIE;UND;0.0;8.72;8.72;14.0;15.9;8536.50.90;60.0;500.0;0.0;0.0;0.0
6464,00;6464,00;*INTER ;UND;0.0;6.41;6.41;10.0;12.0;8536.50.90;60.0;500.0;0.0;0.0;0.0
6469,00;6469,00;*INTER 1 TECLA;UND;0.0;6.5;6.5;10.0;12.0;8536.50.90;60.0;500.0;0.0;0.0;0.0
6512,00;6512,00;JANELA FERRO 0.80X1.00 S DELFORT DELFORT;UND;0.0;211.5;211.5;280.0;312.0;7326.19.00;60.0;500.0;0.0;0.0;0.0
